naics,aiie,industry_code,industry_name,series_id_emp
1133,-1.360161,10113300,Logging,CES1011330001
2121,-1.146242,10212100,Coal mining,CES1021210001
2122,-0.8924032,10212200,Metal ore mining,CES1021220001
2123,-1.037903,10212300,Nonmetallic mineral mining and quarrying,CES1021230001
2211,0.2096187,44221100,"Electric power generation, transmission and distribution",CES4422110001
2212,0.3453538,44221200,Natural gas distribution,CES4422120001
2213,-0.1564226,44221300,"Water, sewage, and other systems",CES4422130001
2361,-0.7602519,20236100,Residential building construction,CES2023610001
2362,-0.6632232,20236200,Nonresidential building construction,CES2023620001
2371,-1.176381,20237100,Utility system construction,CES2023710001
2372,0.5814018,20237200,Land subdivision,CES2023720001
2373,-1.296256,20237300,"Highway, street, and bridge construction",CES2023730001
2379,-1.104619,20237900,Other heavy and civil engineering construction,CES2023790001
2381,-1.757023,20238100,"Foundation, structure, and building exterior contractors",CES2023810001
2382,-0.8320791,20238200,Building equipment contractors,CES2023820001
2383,-1.602616,20238300,Building finishing contractors,CES2023830001
2389,-1.358564,20238900,Other specialty trade contractors,CES2023890001
3111,-0.78914,32311100,Animal food manufacturing,CES3231110001
3112,-0.7206286,32311200,Grain and oilseed milling,CES3231120001
3113,-0.7729946,32311300,Sugar and confectionery product manufacturing,CES3231130001
3114,-0.980808,32311400,Fruit and vegetable preserving and specialty food manufacturing,CES3231140001
3115,-0.8435335,32311500,Dairy product manufacturing,CES3231150001
3116,-1.662866,32311600,Animal slaughtering and processing,CES3231160001
3117,-1.258223,32311700,Seafood product preparation and packaging,CES3231170001
3118,-0.8015609,32311800,Bakeries and tortilla manufacturing,CES3231180001
3119,-0.8538909,32311900,Other food manufacturing,CES3231190001
3121,-0.6586424,32329100,Beverage manufacturing,CES3232910001
3132,-1.114104,32313200,Fabric mills,CES3231320001
3141,-1.067818,32314100,Textile furnishings mills,CES3231410001
3149,-0.561571,32314900,Other textile product mills,CES3231490001
3211,-1.421037,31321100,Sawmills and wood preservation,CES3132110001
3212,-1.13457,31321200,"Veneer, plywood, and engineered wood product manufacturing",CES3132120001
3219,-1.146,31321900,Other wood product manufacturing,CES3132190001
3221,-0.9502621,32322100,"Pulp, paper, and paperboard mills",CES3232210001
3222,-0.8241846,32322200,Converted paper product manufacturing,CES3232220001
3251,-0.3080356,32325100,Basic chemical manufacturing,CES3232510001
3252,-0.3080356,32325200,"Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing",CES3232520001
