naics,industry_title,aiie,industry_code,naics_code,industry_name
1133.0,Logging,-1.360161,10113300.0,1133.0,Logging
1151.0,Support Activities for Crop Production,-2.165304,,,
1152.0,Support Activities for Animal Production,-1.149307,,,
2111.0,Oil and Gas Extraction,0.6686154,,,
2121.0,Coal Mining,-1.146242,10212100.0,2121.0,Coal mining
2122.0,Metal Ore Mining,-0.8924032,10212200.0,2122.0,Metal ore mining
2123.0,Nonmetallic Mineral Mining and Quarrying,-1.037903,10212300.0,2123.0,Nonmetallic mineral mining and quarrying
2131.0,Support Activities for Mining,-0.9810408,,,
2211.0,"Electric Power Generation, Transmission and Distribution",0.2096187,44221100.0,2211.0,"Electric power generation, transmission and distribution"
2212.0,Natural Gas Distribution,0.3453538,44221200.0,2212.0,Natural gas distribution
2213.0,"Water, Sewage and Other Systems",-0.1564226,44221300.0,2213.0,"Water, sewage, and other systems"
2361.0,Residential Building Construction,-0.7602519,20236100.0,2361.0,Residential building construction
2362.0,Nonresidential Building Construction,-0.6632232,20236200.0,2362.0,Nonresidential building construction
2371.0,Utility System Construction,-1.176381,20237100.0,2371.0,Utility system construction
2372.0,Land Subdivision,0.5814018,20237200.0,2372.0,Land subdivision
2373.0,"Highway, Street, and Bridge Construction",-1.296256,20237300.0,2373.0,"Highway, street, and bridge construction"
2379.0,Other Heavy and Civil Engineering Construction,-1.104619,20237900.0,2379.0,Other heavy and civil engineering construction
2381.0,"Foundation, Structure, and Building Exterior Contractors",-1.757023,20238100.0,2381.0,"Foundation, structure, and building exterior contractors"
2382.0,Building Equipment Contractors,-0.8320791,20238200.0,2382.0,Building equipment contractors
2383.0,Building Finishing Contractors,-1.602616,20238300.0,2383.0,Building finishing contractors
2389.0,Other Specialty Trade Contractors,-1.358564,20238900.0,2389.0,Other specialty trade contractors
3111.0,Animal Food Manufacturing,-0.78914,32311100.0,3111.0,Animal food manufacturing
3112.0,Grain and Oilseed Milling,-0.7206286,32311200.0,3112.0,Grain and oilseed milling
