industry_code,naics,industry_name
10113300,1133,Logging
10211000,211,Oil and gas extraction
10212000,212,Mining (except oil and gas)
10212100,2121,Coal mining
10212200,2122,Metal ore mining
10212300,2123,Nonmetallic mineral mining and quarrying
10213000,213,Support activities for mining
20236000,236,Construction of buildings
20236100,2361,Residential building construction
20236200,2362,Nonresidential building construction
20237000,237,Heavy and civil engineering construction
20237100,2371,Utility system construction
20237200,2372,Land subdivision
20237300,2373,"Highway, street, and bridge construction"
20237900,2379,Other heavy and civil engineering construction
20238000,238,Specialty trade contractors
20238100,2381,"Foundation, structure, and building exterior contractors"
20238200,2382,Building equipment contractors
20238300,2383,Building finishing contractors
20238900,2389,Other specialty trade contractors
31321000,321,Wood product manufacturing
31321100,3211,Sawmills and wood preservation
31321200,3212,"Veneer, plywood, and engineered wood product manufacturing"
31321900,3219,Other wood product manufacturing
31327000,327,Nonmetallic mineral product manufacturing
31327100,3271,Clay product and refractory manufacturing
31327200,3272,Glass and glass product manufacturing
31327300,3273,Cement and concrete product manufacturing
31331000,331,Primary metal manufacturing
31331100,3311,Iron and steel mills and ferroalloy manufacturing
31331200,3312,Steel product manufacturing from purchased steel
31331500,3315,Foundries
31332000,332,Fabricated metal product manufacturing
31332100,3321,Forging and stamping
31332300,3323,Architectural and structural metals manufacturing
31332400,3324,"Boiler, tank, and shipping container manufacturing"
31332700,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing"
31332800,3328,"Coating, engraving, heat treating, and allied activities"
31332900,3329,"Cutlery, handtool, and other fabricated metal product manufacturing"
31333000,333,Machinery manufacturing
31333100,3331,"Agriculture, construction, and mining machinery manufacturing"
31333200,3332,Industrial machinery manufacturing
31333300,3333,Commercial and service industry machinery manufacturing
31333400,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing"
31333500,3335,Metalworking machinery manufacturing
31333600,3336,"Engine, turbine, and power transmission equipment manufacturing"
31333900,3339,Other general purpose machinery manufacturing
31334000,334,Computer and electronic product manufacturing
31334100,3341,Computer and peripheral equipment manufacturing
31334200,3342,Communications equipment manufacturing
31334400,3344,Semiconductor and other electronic component manufacturing
